Florida.County,Year,Month,Day,Date,Time,Time.Zone,Event.Type,Deaths,Injuries,Property Damage ($),Crop Damage ($)
INLAND PALM BEACH,1998,11,4,11/4/1998,8:00,EST,Tropical Storm,0,0,0,0
HENDRY,1998,11,4,11/4/1998,8:00,EST,Tropical Storm,0,0,0,0
INLAND COLLIER,1998,11,4,11/4/1998,8:00,EST,Tropical Storm,0,0,0,0
COASTAL COLLIER,1998,11,4,11/4/1998,8:00,EST,Tropical Storm,0,0,0,0
COASTAL PALM BEACH,1998,11,4,11/4/1998,8:00,EST,Tropical Storm,0,0,0,0
COASTAL BROWARD,1998,11,4,11/4/1998,8:00,EST,Tropical Storm,0,65,3.00E+07,2.00E+07
MONROE/UPPER KEYS,1998,11,4,11/4/1998,8:00,EST,Tropical Storm,0,0,0,0
MONROE/MIDDLE KEYS,1998,11,4,11/4/1998,8:00,EST,Tropical Storm,0,0,0,0
INLAND BROWARD,1998,11,4,11/4/1998,8:00,EST,Tropical Storm,0,0,0,0
LEE,1998,11,4,11/4/1998,12:00,EST,Tropical Storm,0,0,20000,0
HARDEE,1998,11,4,11/4/1998,12:00,EST,Tropical Storm,0,0,0,0
DE SOTO,1998,11,4,11/4/1998,12:00,EST,Tropical Storm,0,0,0,0
HILLSBOROUGH,1998,11,4,11/4/1998,12:00,EST,Tropical Storm,0,0,0,0
HIGHLANDS,1998,11,4,11/4/1998,12:00,EST,Tropical Storm,0,0,0,0
SARASOTA,1998,11,4,11/4/1998,12:00,EST,Tropical Storm,0,0,0,0
PINELLAS,1998,11,4,11/4/1998,12:00,EST,Tropical Storm,0,0,0,0
MANATEE,1998,11,4,11/4/1998,12:00,EST,Tropical Storm,0,0,0,0
POLK,1998,11,4,11/4/1998,12:00,EST,Tropical Storm,0,0,0,0
MARTIN,1998,11,5,11/5/1998,10:00,EST,Tropical Storm,0,0,0,0
COASTAL COLLIER,1999,9,20,9/20/1999,12:00,EST,Tropical Storm,0,0,325000,0
COASTAL DADE,1999,9,20,9/20/1999,18:00,EST,Tropical Storm,0,0,0,0
COASTAL BROWARD,1999,9,20,9/20/1999,18:00,EST,Tropical Storm,0,0,0,0
COASTAL PALM BEACH,1999,9,20,9/20/1999,18:00,EST,Tropical Storm,0,0,0,0
SARASOTA,1999,9,20,9/20/1999,21:00,EST,Tropical Storm,0,0,1.00E+05,0
LEVY,1999,9,20,9/20/1999,21:00,EST,Tropical Storm,0,0,0,0
DE SOTO,1999,9,20,9/20/1999,21:00,EST,Tropical Storm,0,0,0,0
LEE,1999,9,20,9/20/1999,21:00,EST,Tropical Storm,0,0,0,0
HILLSBOROUGH,1999,9,20,9/20/1999,21:00,EST,Tropical Storm,0,0,0,0
MANATEE,1999,9,20,9/20/1999,21:00,EST,Tropical Storm,0,0,0,0
CITRUS,1999,9,20,9/20/1999,21:00,EST,Tropical Storm,0,0,0,0
PINELLAS,1999,9,20,9/20/1999,21:00,EST,Tropical Storm,0,0,0,0
PASCO,1999,9,20,9/20/1999,21:00,EST,Tropical Storm,0,0,0,0
CHARLOTTE,1999,9,20,9/20/1999,21:00,EST,Tropical Storm,0,0,0,0
MONROE/UPPER KEYS,1999,9,21,9/21/1999,12:30,EST,Tropical Storm,0,0,0,0
MONROE/UPPER KEYS,1999,9,21,9/21/1999,12:43,EST,Tropical Storm,0,0,0,0
COASTAL COLLIER,2000,9,16,9/16/2000,10:00,EST,Tropical Storm,0,0,0,0
COASTAL BROWARD,2000,9,16,9/16/2000,10:00,EST,Tropical Storm,0,0,0,0
INLAND PALM BEACH,2000,9,16,9/16/2000,10:00,EST,Tropical Storm,0,0,50000,0
COASTAL PALM BEACH,2000,9,16,9/16/2000,10:00,EST,Tropical Storm,0,0,0,0
GLADES,2000,9,16,9/16/2000,10:00,EST,Tropical Storm,0,0,0,0
INLAND SANTA ROSA,2000,9,21,9/21/2000,9:00,CST,Tropical Storm,0,0,0,0
INLAND OKALOOSA,2000,9,21,9/21/2000,9:00,CST,Tropical Storm,0,0,0,0
INLAND ESCAMBIA,2000,9,21,9/21/2000,9:00,CST,Tropical Storm,0,0,0,0
COASTAL SANTA ROSA,2000,9,21,9/21/2000,9:00,CST,Tropical Storm,0,0,0,0
COASTAL ESCAMBIA,2000,9,21,9/21/2000,9:00,CST,Tropical Storm,0,0,0,0
COASTAL OKALOOSA,2000,9,21,9/21/2000,9:00,CST,Tropical Storm,0,0,0,0
HOLMES,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
INLAND WALTON,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
JACKSON,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
JEFFERSON,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
LEON,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
LIBERTY,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
GULF,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
MADISON,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
TAYLOR,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
WAKULLA,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
BAY,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
CALHOUN,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
COASTAL WALTON,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
FRANKLIN,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
GADSDEN,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
WASHINGTON,2000,9,21,9/21/2000,18:00,EST,Tropical Storm,0,0,0,0
INLAND OKALOOSA,2001,8,4,8/4/2001,9:00,CST,Tropical Storm,0,0,0,0
INLAND ESCAMBIA,2001,8,4,8/4/2001,9:00,CST,Tropical Storm,0,0,0,0
COASTAL SANTA ROSA,2001,8,4,8/4/2001,9:00,CST,Tropical Storm,0,0,0,0
COASTAL OKALOOSA,2001,8,4,8/4/2001,9:00,CST,Tropical Storm,0,0,0,0
COASTAL ESCAMBIA,2001,8,4,8/4/2001,9:00,CST,Tropical Storm,0,0,7.00E+05,0
INLAND SANTA ROSA,2001,8,4,8/4/2001,9:00,CST,Tropical Storm,0,0,0,0
BAY,2001,8,4,8/4/2001,15:00,EST,Tropical Storm,0,0,0,0
GULF,2001,8,4,8/4/2001,15:00,EST,Tropical Storm,0,0,0,0
WASHINGTON,2001,8,4,8/4/2001,15:00,EST,Tropical Storm,0,0,0,0
WAKULLA,2001,8,4,8/4/2001,15:00,EST,Tropical Storm,0,0,0,0
LIBERTY,2001,8,4,8/4/2001,15:00,EST,Tropical Storm,0,0,0,0
LEON,2001,8,4,8/4/2001,15:00,EST,Tropical Storm,0,0,0,0
JEFFERSON,2001,8,4,8/4/2001,15:00,EST,Tropical Storm,0,0,0,0
JACKSON,2001,8,4,8/4/2001,15:00,EST,Tropical Storm,0,0,0,0
INLAND WALTON,2001,8,4,8/4/2001,15:00,EST,Tropical Storm,0,0,5.00E+06,0
HOLMES,2001,8,4,8/4/2001,15:00,EST,Tropical Storm,0,0,0,0
GADSDEN,2001,8,4,8/4/2001,15:00,EST,Tropical Storm,0,0,0,0
FRANKLIN,2001,8,4,8/4/2001,15:00,EST,Tropical Storm,0,0,0,0
COASTAL WALTON,2001,8,4,8/4/2001,15:00,EST,Tropical Storm,0,0,0,0
CALHOUN,2001,8,4,8/4/2001,15:00,EST,Tropical Storm,0,0,0,0
MONROE/UPPER KEYS,2001,9,13,9/13/2001,13:00,EST,Tropical Storm,1,0,0,0
HENDRY,2001,9,13,9/13/2001,17:00,EST,Tropical Storm,0,0,0,0
COASTAL COLLIER,2001,9,13,9/13/2001,17:00,EST,Tropical Storm,0,0,50000,0
GLADES,2001,9,13,9/13/2001,17:00,EST,Tropical Storm,0,0,0,0
LEE,2001,9,14,9/14/2001,3:00,EST,Tropical Storm,0,0,5700000,0
SARASOTA,2001,9,14,9/14/2001,3:00,EST,Tropical Storm,0,0,2.00E+06,0
CHARLOTTE,2001,9,14,9/14/2001,3:00,EST,Tropical Storm,0,0,1.00E+06,0
MARION,2001,9,14,9/14/2001,4:00,EST,Tropical Storm,0,0,1200000,0
DE SOTO,2001,9,14,9/14/2001,4:00,EST,Tropical Storm,0,0,1500000,0
MANATEE,2001,9,14,9/14/2001,4:30,EST,Tropical Storm,0,6,1300000,0
HARDEE,2001,9,14,9/14/2001,5:00,EST,Tropical Storm,0,0,3600000,0
VOLUSIA,2001,9,14,9/14/2001,5:52,EST,Tropical Storm,0,0,2.00E+06,0
PINELLAS,2001,9,14,9/14/2001,6:00,EST,Tropical Storm,0,0,750000,0
HILLSBOROUGH,2001,9,14,9/14/2001,6:00,EST,Tropical Storm,0,0,5.00E+05,0
HIGHLANDS,2001,9,14,9/14/2001,6:00,EST,Tropical Storm,0,0,150000,0
PASCO,2001,9,14,9/14/2001,7:00,EST,Tropical Storm,0,0,1.00E+05,0
POLK,2001,9,14,9/14/2001,7:00,EST,Tropical Storm,0,0,1.00E+05,0
HERNANDO,2001,9,14,9/14/2001,8:00,EST,Tropical Storm,0,0,75000,0
CITRUS,2001,9,14,9/14/2001,9:00,EST,Tropical Storm,0,0,50000,0
SUMTER,2001,9,14,9/14/2001,9:00,EST,Tropical Storm,0,0,25000,0
BREVARD,2001,9,14,9/14/2001,9:21,EST,Tropical Storm,0,0,3.00E+06,0
PUTNAM,2001,9,14,9/14/2001,10:00,EST,Tropical Storm,0,0,0,0
LEVY,2001,9,14,9/14/2001,10:00,EST,Tropical Storm,0,0,50000,0
DUVAL,2001,9,14,9/14/2001,10:00,EST,Tropical Storm,0,0,0,0
ST. JOHNS,2001,9,14,9/14/2001,17:00,EST,Tropical Storm,0,0,0,0
VOLUSIA,2002,9,4,9/4/2002,10:00,EST,Tropical Storm,0,0,0,0
COASTAL OKALOOSA,2002,9,12,9/12/2002,9:00,CST,Tropical Storm,0,0,10000,0
INLAND SANTA ROSA,2002,9,12,9/12/2002,9:00,CST,Tropical Storm,0,0,0,0
INLAND OKALOOSA,2002,9,12,9/12/2002,9:00,CST,Tropical Storm,0,0,0,0
INLAND ESCAMBIA,2002,9,12,9/12/2002,9:00,CST,Tropical Storm,0,0,0,0
COASTAL SANTA ROSA,2002,9,12,9/12/2002,9:00,CST,Tropical Storm,0,0,40000,0
COASTAL ESCAMBIA,2002,9,13,9/13/2002,9:00,CST,Tropical Storm,0,0,50000,0
TAYLOR,2002,9,14,9/14/2002,0:00,EST,Tropical Storm,0,0,1.00E+05,0
INLAND WALTON,2002,9,14,9/14/2002,0:00,EST,Tropical Storm,0,0,25000,0
LEON,2002,9,14,9/14/2002,0:00,EST,Tropical Storm,0,0,10000,0
JACKSON,2002,9,14,9/14/2002,0:00,EST,Tropical Storm,0,0,35000,0
GADSDEN,2002,9,14,9/14/2002,0:00,EST,Tropical Storm,0,0,10000,0
GULF,2002,9,14,9/14/2002,0:00,EST,Tropical Storm,0,0,15000,0
HOLMES,2002,9,14,9/14/2002,0:00,EST,Tropical Storm,0,0,5000,0
INLAND WALTON,2002,9,14,9/14/2002,0:00,EST,Tropical Storm,0,0,125000,0
CALHOUN,2002,9,14,9/14/2002,0:00,EST,Tropical Storm,0,0,10000,0
BAY,2002,9,14,9/14/2002,0:00,EST,Tropical Storm,0,0,25000,0
COASTAL WALTON,2002,9,14,9/14/2002,0:00,EST,Tropical Storm,0,0,20000,0
WASHINGTON,2002,9,14,9/14/2002,0:00,EST,Tropical Storm,0,0,10000,0
WAKULLA,2002,9,14,9/14/2002,0:00,EST,Tropical Storm,0,0,10000,0
INLAND OKALOOSA,2002,9,24,9/24/2002,9:00,CST,Tropical Storm,0,0,0,0
INLAND SANTA ROSA,2002,9,24,9/24/2002,9:00,CST,Tropical Storm,0,0,0,0
INLAND ESCAMBIA,2002,9,24,9/24/2002,9:00,CST,Tropical Storm,0,0,0,0
COASTAL SANTA ROSA,2002,9,24,9/24/2002,9:00,CST,Tropical Storm,0,0,4500000,0
COASTAL OKALOOSA,2002,9,24,9/24/2002,9:00,CST,Tropical Storm,0,0,879000,0
COASTAL ESCAMBIA,2002,9,24,9/24/2002,9:00,CST,Tropical Storm,0,0,5800000,0
COASTAL WALTON,2002,9,25,9/25/2002,18:00,EST,Tropical Storm,0,0,5.00E+06,0
DIXIE,2002,9,25,9/25/2002,18:00,EST,Tropical Storm,0,0,10000,0
TAYLOR,2002,9,25,9/25/2002,18:00,EST,Tropical Storm,0,0,10000,0
WAKULLA,2002,9,25,9/25/2002,18:00,EST,Tropical Storm,0,0,250000,0
JACKSON,2002,9,25,9/25/2002,18:00,EST,Tropical Storm,0,1,150000,0
HOLMES,2002,9,25,9/25/2002,18:00,EST,Tropical Storm,0,0,1.00E+05,0
GULF,2002,9,25,9/25/2002,18:00,EST,Tropical Storm,0,0,1.00E+06,0
FRANKLIN,2002,9,25,9/25/2002,18:00,EST,Tropical Storm,0,0,5.00E+05,0
BAY,2002,9,25,9/25/2002,18:00,EST,Tropical Storm,0,0,4.00E+06,0
COASTAL SANTA ROSA,2004,8,10,8/10/2004,21:00,CST,Tropical Storm,0,0,0,0
INLAND OKALOOSA,2004,8,10,8/10/2004,21:00,CST,Tropical Storm,0,0,0,0
INLAND SANTA ROSA,2004,8,10,8/10/2004,21:00,CST,Tropical Storm,0,0,0,0
COASTAL ESCAMBIA,2004,8,10,8/10/2004,21:00,CST,Tropical Storm,0,0,0,0
INLAND ESCAMBIA,2004,8,10,8/10/2004,21:00,CST,Tropical Storm,0,0,0,0
COASTAL OKALOOSA,2004,8,10,8/10/2004,21:00,CST,Tropical Storm,0,0,0,0
DIXIE,2004,8,12,8/12/2004,0:00,EST,Tropical Storm,0,0,0,0
GULF,2004,8,12,8/12/2004,0:00,EST,Tropical Storm,0,0,0,0
MADISON,2004,8,12,8/12/2004,0:00,EST,Tropical Storm,0,0,0,0
TAYLOR,2004,8,12,8/12/2004,0:00,EST,Tropical Storm,0,0,0,0
JEFFERSON,2004,8,12,8/12/2004,0:00,EST,Tropical Storm,0,0,0,0
JACKSON,2004,8,12,8/12/2004,0:00,EST,Tropical Storm,0,0,0,0
LIBERTY,2004,8,12,8/12/2004,0:00,EST,Tropical Storm,0,0,0,0
WAKULLA,2004,8,12,8/12/2004,0:00,EST,Tropical Storm,0,0,1.00E+05,0
LEON,2004,8,12,8/12/2004,0:00,EST,Tropical Storm,0,0,0,0
LAFAYETTE,2004,8,12,8/12/2004,0:00,EST,Tropical Storm,0,0,0,0
CALHOUN,2004,8,12,8/12/2004,0:00,EST,Tropical Storm,0,0,0,0
BAY,2004,8,12,8/12/2004,0:00,EST,Tropical Storm,0,0,0,0
GADSDEN,2004,8,12,8/12/2004,0:00,EST,Tropical Storm,0,0,0,0
FRANKLIN,2004,8,12,8/12/2004,0:00,EST,Tropical Storm,0,0,0,0
HILLSBOROUGH,2004,8,13,8/13/2004,16:00,EST,Tropical Storm,0,0,7.80E+07,0
BREVARD,2004,8,13,8/13/2004,21:00,EST,Tropical Storm,1,0,9.00E+05,0
FLAGLER,2004,9,4,9/4/2004,21:00,EST,Tropical Storm,0,0,0,0
ALACHUA,2004,9,4,9/4/2004,21:00,EST,Tropical Storm,3,0,0,0
UNION,2004,9,4,9/4/2004,21:00,EST,Tropical Storm,0,0,0,0
SUWANNEE,2004,9,4,9/4/2004,21:00,EST,Tropical Storm,0,0,0,0
ST. JOHNS,2004,9,4,9/4/2004,21:00,EST,Tropical Storm,0,0,0,0
PUTNAM,2004,9,4,9/4/2004,21:00,EST,Tropical Storm,0,0,0,0
NASSAU,2004,9,4,9/4/2004,21:00,EST,Tropical Storm,0,0,0,0
DUVAL,2004,9,4,9/4/2004,21:00,EST,Tropical Storm,0,0,0,0
COLUMBIA,2004,9,4,9/4/2004,21:00,EST,Tropical Storm,0,0,0,0
CLAY,2004,9,4,9/4/2004,21:00,EST,Tropical Storm,0,0,0,0
BRADFORD,2004,9,4,9/4/2004,21:00,EST,Tropical Storm,0,0,0,0
BAKER,2004,9,4,9/4/2004,21:00,EST,Tropical Storm,0,0,0,0
MARION,2004,9,4,9/4/2004,21:00,EST,Tropical Storm,0,0,0,0
HAMILTON,2004,9,4,9/4/2004,21:00,EST,Tropical Storm,1,0,0,0
GILCHRIST,2004,9,4,9/4/2004,21:00,EST,Tropical Storm,0,0,0,0
HILLSBOROUGH,2004,9,5,9/5/2004,8:00,EST,Tropical Storm,0,0,4.50E+07,0
PINELLAS,2004,9,5,9/5/2004,8:00,EST,Tropical Storm,0,0,32400000,0
PASCO,2004,9,5,9/5/2004,8:00,EST,Tropical Storm,0,0,31200000,0
MANATEE,2004,9,5,9/5/2004,8:00,EST,Tropical Storm,0,0,6400000,0
LEVY,2004,9,5,9/5/2004,8:00,EST,Tropical Storm,0,0,4800000,0
LEE,2004,9,5,9/5/2004,8:00,EST,Tropical Storm,1,0,6400000,0
HERNANDO,2004,9,5,9/5/2004,8:00,EST,Tropical Storm,0,0,23200000,0
DE SOTO,2004,9,5,9/5/2004,8:00,EST,Tropical Storm,0,0,1500000,0
CITRUS,2004,9,5,9/5/2004,8:00,EST,Tropical Storm,0,0,21200000,0
CHARLOTTE,2004,9,5,9/5/2004,8:00,EST,Tropical Storm,0,0,7300000,0
JACKSON,2004,9,5,9/5/2004,14:00,EST,Tropical Storm,0,0,10000,0
GADSDEN,2004,9,5,9/5/2004,14:00,EST,Tropical Storm,0,0,10000,0
LAFAYETTE,2004,9,5,9/5/2004,14:00,EST,Tropical Storm,0,0,125000,0
JEFFERSON,2004,9,5,9/5/2004,14:00,EST,Tropical Storm,0,0,3.00E+05,0
WASHINGTON,2004,9,5,9/5/2004,14:00,EST,Tropical Storm,0,0,10000,0
WAKULLA,2004,9,5,9/5/2004,14:00,EST,Tropical Storm,0,0,2.00E+05,0
GULF,2004,9,5,9/5/2004,14:00,EST,Tropical Storm,0,0,10000,0
TAYLOR,2004,9,5,9/5/2004,14:00,EST,Tropical Storm,0,0,250000,0
MADISON,2004,9,5,9/5/2004,14:00,EST,Tropical Storm,0,0,1.00E+05,0
LIBERTY,2004,9,5,9/5/2004,14:00,EST,Tropical Storm,0,0,15000,0
LEON,2004,9,5,9/5/2004,14:00,EST,Tropical Storm,0,0,5.00E+05,0
DIXIE,2004,9,5,9/5/2004,14:00,EST,Tropical Storm,0,0,150000,0
BAY,2004,9,5,9/5/2004,14:00,EST,Tropical Storm,0,0,50000,0
FRANKLIN,2004,9,5,9/5/2004,14:00,EST,Tropical Storm,0,0,10000,0
ST. JOHNS,2004,9,25,9/25/2004,12:00,EST,Tropical Storm,0,0,0,0
PUTNAM,2004,9,25,9/25/2004,12:00,EST,Tropical Storm,0,0,0,0
NASSAU,2004,9,25,9/25/2004,12:00,EST,Tropical Storm,0,0,0,0
MARION,2004,9,25,9/25/2004,12:00,EST,Tropical Storm,0,0,0,0
HAMILTON,2004,9,25,9/25/2004,12:00,EST,Tropical Storm,1,0,0,0
GILCHRIST,2004,9,25,9/25/2004,12:00,EST,Tropical Storm,0,0,0,0
FLAGLER,2004,9,25,9/25/2004,12:00,EST,Tropical Storm,0,0,0,0
DUVAL,2004,9,25,9/25/2004,12:00,EST,Tropical Storm,0,0,0,0
COLUMBIA,2004,9,25,9/25/2004,12:00,EST,Tropical Storm,0,0,0,0
CLAY,2004,9,25,9/25/2004,12:00,EST,Tropical Storm,0,0,0,0
BRADFORD,2004,9,25,9/25/2004,12:00,EST,Tropical Storm,0,0,0,0
BAKER,2004,9,25,9/25/2004,12:00,EST,Tropical Storm,0,0,0,0
ALACHUA,2004,9,25,9/25/2004,12:00,EST,Tropical Storm,0,0,0,0
UNION,2004,9,25,9/25/2004,12:00,EST,Tropical Storm,0,0,0,0
SUWANNEE,2004,9,25,9/25/2004,12:00,EST,Tropical Storm,0,0,0,0
SARASOTA,2004,9,25,9/25/2004,22:00,EST,Tropical Storm,0,0,6400000,0
CHARLOTTE,2004,9,25,9/25/2004,23:00,EST,Tropical Storm,0,0,2300000,0
MANATEE,2004,9,25,9/25/2004,23:00,EST,Tropical Storm,0,0,10400000,0
LEE,2004,9,25,9/25/2004,23:00,EST,Tropical Storm,0,0,1900000,0
DE SOTO,2004,9,25,9/25/2004,23:00,EST,Tropical Storm,0,0,1700000,0
LEVY,2004,9,26,9/26/2004,1:00,EST,Tropical Storm,0,0,1100000,0
CITRUS,2004,9,26,9/26/2004,1:00,EST,Tropical Storm,0,0,5.00E+06,0
HERNANDO,2004,9,26,9/26/2004,1:00,EST,Tropical Storm,0,0,10800000,0
HILLSBOROUGH,2004,9,26,9/26/2004,1:00,EST,Tropical Storm,0,0,4.50E+07,0
PASCO,2004,9,26,9/26/2004,1:00,EST,Tropical Storm,0,0,21200000,0
PINELLAS,2004,9,26,9/26/2004,1:00,EST,Tropical Storm,0,0,2.90E+07,0
FRANKLIN,2004,9,26,9/26/2004,15:00,EST,Tropical Storm,0,0,0,0
JEFFERSON,2004,9,26,9/26/2004,15:00,EST,Tropical Storm,0,0,2.00E+05,0
LAFAYETTE,2004,9,26,9/26/2004,15:00,EST,Tropical Storm,0,0,75000,0
LEON,2004,9,26,9/26/2004,15:00,EST,Tropical Storm,0,0,5.00E+05,0
DIXIE,2004,9,26,9/26/2004,15:00,EST,Tropical Storm,0,0,1500000,0
TAYLOR,2004,9,26,9/26/2004,15:00,EST,Tropical Storm,0,0,1.00E+05,0
WAKULLA,2004,9,26,9/26/2004,15:00,EST,Tropical Storm,0,0,0,0
MADISON,2004,9,26,9/26/2004,15:00,EST,Tropical Storm,0,0,150000,0
COASTAL BROWARD,2005,6,9,6/9/2005,7:00,EST,Tropical Storm,0,0,0,0
MONROE/LOWER KEYS,2005,6,9,6/9/2005,17:00,EST,Tropical Storm,0,0,50000,0
MONROE/MIDDLE KEYS,2005,6,9,6/9/2005,17:05,EST,Tropical Storm,0,0,0,0
INLAND ESCAMBIA,2005,6,10,6/10/2005,3:00,CST,Tropical Storm,0,0,3500000,0
COASTAL OKALOOSA,2005,6,10,6/10/2005,3:00,CST,Tropical Storm,0,0,0,0
COASTAL ESCAMBIA,2005,6,10,6/10/2005,3:00,CST,Tropical Storm,0,0,0,0
INLAND SANTA ROSA,2005,6,10,6/10/2005,3:00,CST,Tropical Storm,0,0,0,0
COASTAL SANTA ROSA,2005,6,10,6/10/2005,3:00,CST,Tropical Storm,0,0,0,0
INLAND OKALOOSA,2005,6,10,6/10/2005,3:00,CST,Tropical Storm,0,0,0,0
MONROE/UPPER KEYS,2005,6,10,6/10/2005,11:45,EST,Tropical Storm,0,0,40000,0
MADISON,2005,6,10,6/10/2005,18:00,EST,Tropical Storm,0,0,0,0
HOLMES,2005,6,10,6/10/2005,18:00,EST,Tropical Storm,0,0,0,0
INLAND WALTON,2005,6,10,6/10/2005,18:00,EST,Tropical Storm,0,0,0,0
JEFFERSON,2005,6,10,6/10/2005,18:00,EST,Tropical Storm,0,0,0,0
LAFAYETTE,2005,6,10,6/10/2005,18:00,EST,Tropical Storm,0,0,0,0
GULF,2005,6,10,6/10/2005,18:00,EST,Tropical Storm,0,0,25000,0
CALHOUN,2005,6,10,6/10/2005,18:00,EST,Tropical Storm,0,0,0,0
BAY,2005,6,10,6/10/2005,18:00,EST,Tropical Storm,0,0,50000,0
COASTAL WALTON,2005,6,10,6/10/2005,18:00,EST,Tropical Storm,0,0,25000,0
LEON,2005,6,10,6/10/2005,18:00,EST,Tropical Storm,0,0,0,0
LIBERTY,2005,6,10,6/10/2005,18:00,EST,Tropical Storm,0,0,0,0
